Error Code,Module,Severity,Type,Message Template (EN),Business Area,Technical Area
ERR.CORE.UNIT.PARENT_NOT_FOUND,UNIT,HIGH,Business,Parent unit not found,Organization Management,Unit Service
ERR.CORE.UNIT.LIST.FAILED,UNIT,MEDIUM,System,Failed to retrieve units list: {errorMessage},Organization Management,Unit Service
ERR.CORE.UNIT.RESTORE.NOT_FOUND,UNIT,MEDIUM,Business,Deleted unit with ID {unitId} not found,Organization Management,Unit Service
ERR.CORE.UNIT.RESTORE.FAILED,UNIT,HIGH,System,Failed to restore unit {unitId}: {errorMessage},Organization Management,Unit Service
ERR.CORE.UNIT.PATH.CALCULATION_FAILED,UNIT,HIGH,System,Failed to calculate parent unit path for unit {unitId},Organization Management,Unit Service
ERR.CORE.UNIT_TYPE.CREATE.FAILED,UNIT_TYPE,HIGH,System,Failed to create unit type: {errorMessage},Organization Management,Unit Type Service
ERR.CORE.UNIT_TYPE.CREATE.DUPLICATE_NAME,UNIT_TYPE,MEDIUM,Business,Unit type with name {name} already exists,Organization Management,Unit Type Service
ERR.CORE.UNIT_TYPE.CREATE.INVALID_DEPARTMENT,UNIT_TYPE,MEDIUM,Business,Department with ID {departmentId} does not exist,Organization Management,Unit Type Service
ERR.CORE.UNIT_TYPE.UPDATE.NOT_FOUND,UNIT_TYPE,MEDIUM,Business,Unit type with ID {unitTypeId} not found,Organization Management,Unit Type Service
ERR.CORE.UNIT_TYPE.UPDATE.FAILED,UNIT_TYPE,HIGH,System,Failed to update unit type {unitTypeId}: {errorMessage},Organization Management,Unit Type Service
ERR.CORE.UNIT_TYPE.UPDATE.DUPLICATE_NAME,UNIT_TYPE,MEDIUM,Business,Another unit type with name {name} already exists,Organization Management,Unit Type Service
ERR.CORE.UNIT_TYPE.DELETE.NOT_FOUND,UNIT_TYPE,MEDIUM,Business,Unit type with ID {unitTypeId} not found,Organization Management,Unit Type Service
ERR.CORE.UNIT_TYPE.DELETE.IN_USE,UNIT_TYPE,HIGH,Business,Cannot delete unit type {unitTypeId} as it is used by {unitCount} units,Organization Management,Unit Type Service
ERR.CORE.UNIT_TYPE.DELETE.FAILED,UNIT_TYPE,HIGH,System,Failed to delete unit type {unitTypeId}: {errorMessage},Organization Management,Unit Type Service
ERR.CORE.UNIT_TYPE.GET.NOT_FOUND,UNIT_TYPE,LOW,Business,Unit type with ID {unitTypeId} not found,Organization Management,Unit Type Service
ERR.CORE.UNIT_TYPE.LIST.FAILED,UNIT_TYPE,MEDIUM,System,Failed to retrieve unit types list: {errorMessage},Organization Management,Unit Type Service
ERR.CORE.UNIT_VILLAGE.CREATE.FAILED,UNIT_VILLAGE,HIGH,System,Failed to assign village to unit: {errorMessage},Organization Management,Unit Village Service
ERR.CORE.UNIT_VILLAGE.CREATE.INVALID_UNIT,UNIT_VILLAGE,MEDIUM,Business,Unit with ID {unitId} does not exist,Organization Management,Unit Village Service
ERR.CORE.UNIT_VILLAGE.CREATE.INVALID_VILLAGE,UNIT_VILLAGE,MEDIUM,Business,Village with ID {villageId} does not exist,Organization Management,Unit Village Service
ERR.CORE.UNIT_VILLAGE.CREATE.DUPLICATE,UNIT_VILLAGE,MEDIUM,Business,Village {villageId} is already assigned to unit {unitId},Organization Management,Unit Village Service
ERR.CORE.UNIT_VILLAGE.UPDATE.NOT_FOUND,UNIT_VILLAGE,MEDIUM,Business,Unit-village mapping with ID {mappingId} not found,Organization Management,Unit Village Service
ERR.CORE.UNIT_VILLAGE.UPDATE.FAILED,UNIT_VILLAGE,HIGH,System,Failed to update unit-village mapping: {errorMessage},Organization Management,Unit Village Service
ERR.CORE.UNIT_VILLAGE.DELETE.NOT_FOUND,UNIT_VILLAGE,MEDIUM,Business,Unit-village mapping with ID {mappingId} not found,Organization Management,Unit Village Service
ERR.CORE.UNIT_VILLAGE.DELETE.FAILED,UNIT_VILLAGE,HIGH,System,Failed to remove village from unit: {errorMessage},Organization Management,Unit Village Service
ERR.CORE.UNIT_VILLAGE.GET.NOT_FOUND,UNIT_VILLAGE,LOW,Business,Unit-village mapping with ID {mappingId} not found,Organization Management,Unit Village Service
ERR.CORE.UNIT_VILLAGE.LIST.FAILED,UNIT_VILLAGE,MEDIUM,System,Failed to retrieve unit villages list: {errorMessage},Organization Management,Unit Village Service
ERR.CORE.PERSONNEL.CREATE.FAILED,PERSONNEL,HIGH,System,Failed to create personnel: {errorMessage},Human Resources,Personnel Service
ERR.CORE.PERSONNEL.CREATE.DUPLICATE_EMAIL,PERSONNEL,MEDIUM,Business,Personnel with email {email} already exists,Human Resources,Personnel Service
ERR.CORE.PERSONNEL.CREATE.INVALID_UNIT,PERSONNEL,MEDIUM,Business,Unit with ID {unitId} does not exist,Human Resources,Personnel Service
ERR.CORE.PERSONNEL.CREATE.INVALID_DEPARTMENT,PERSONNEL,MEDIUM,Business,Department with ID {departmentId} does not exist,Human Resources,Personnel Service
ERR.CORE.PERSONNEL.CREATE.INVALID_RANK,PERSONNEL,MEDIUM,Business,Rank with ID {rankId} does not exist,Human Resources,Personnel Service
ERR.CORE.PERSONNEL.CREATE.INVALID_DISTRICT,PERSONNEL,MEDIUM,Business,District with ID {districtId} does not exist,Human Resources,Personnel Service
ERR.CORE.PERSONNEL.UPDATE.NOT_FOUND,PERSONNEL,MEDIUM,Business,Personnel with ID {personnelId} not found,Human Resources,Personnel Service
ERR.CORE.PERSONNEL.UPDATE.FAILED,PERSONNEL,HIGH,System,Failed to update personnel {personnelId}: {errorMessage},Human Resources,Personnel Service
ERR.CORE.PERSONNEL.UPDATE.DUPLICATE_EMAIL,PERSONNEL,MEDIUM,Business,Another personnel with email {email} already exists,Human Resources,Personnel Service
ERR.CORE.PERSONNEL.DELETE.NOT_FOUND,PERSONNEL,MEDIUM,Business,Personnel with ID {personnelId} not found,Human Resources,Personnel Service
ERR.CORE.PERSONNEL.DELETE.IS_RESPONSIBLE_USER,PERSONNEL,HIGH,Business,Cannot delete personnel {personnelId} as they are responsible user for {unitCount} units,Human Resources,Personnel Service
ERR.CORE.PERSONNEL.DELETE.IS_PROXY_USER,PERSONNEL,HIGH,Business,Cannot delete personnel {personnelId} as they are proxy user for {unitCount} units,Human Resources,Personnel Service
ERR.CORE.PERSONNEL.DELETE.FAILED,PERSONNEL,HIGH,System,Failed to delete personnel {personnelId}: {errorMessage},Human Resources,Personnel Service
ERR.CORE.PERSONNEL.GET.NOT_FOUND,PERSONNEL,LOW,Business,Personnel with ID {personnelId} not found,Human Resources,Personnel Service
ERR.CORE.PERSONNEL.LIST.FAILED,PERSONNEL,MEDIUM,System,Failed to retrieve personnel list: {errorMessage},Human Resources,Personnel Service
ERR.CORE.PERSONNEL.PASSWORD.HASH_FAILED,PERSONNEL,CRITICAL,System,Failed to hash password for personnel {personnelId},Human Resources,Personnel Service
ERR.CORE.PERSONNEL.AUTH.INVALID_CREDENTIALS,PERSONNEL,MEDIUM,Business,Invalid credentials for user {email},Authentication,Personnel Service
ERR.CORE.PERSONNEL.AUTH.ACCOUNT_LOCKED,PERSONNEL,MEDIUM,Business,Account locked for user {email} after {attemptCount} failed attempts,Authentication,Personnel Service
ERR.CORE.PERSONNEL.USERID_EXISTS,PERSONNEL,HIGH,Business,User ID already exists,,Personnel Service
ERR.CORE.DEPARTMENT.CREATE.FAILED,DEPARTMENT,HIGH,System,Failed to create department: {errorMessage},Organization Management,Department Service
ERR.CORE.DEPARTMENT.CREATE.DUPLICATE_NAME,DEPARTMENT,MEDIUM,Business,Department with name {name} already exists,Organization Management,Department Service
ERR.CORE.DEPARTMENT.CREATE.DUPLICATE_CCTNS_CODE,DEPARTMENT,MEDIUM,Business,Department with CCTNS code {cctnsDepartmentCd} already exists,Organization Management,Department Service
ERR.CORE.DEPARTMENT.UPDATE.NOT_FOUND,DEPARTMENT,MEDIUM,Business,Department with ID {departmentId} not found,Organization Management,Department Service
ERR.CORE.DEPARTMENT.UPDATE.FAILED,DEPARTMENT,HIGH,System,Failed to update department {departmentId}: {errorMessage},Organization Management,Department Service
ERR.CORE.DEPARTMENT.UPDATE.DUPLICATE_NAME,DEPARTMENT,MEDIUM,Business,Another department with name {name} already exists,Organization Management,Department Service
ERR.CORE.DEPARTMENT.UPDATE.DUPLICATE_CCTNS_CODE,DEPARTMENT,MEDIUM,Business,Another department with CCTNS code {cctnsDepartmentCd} already exists,Organization Management,Department Service
ERR.CORE.DEPARTMENT.DELETE.NOT_FOUND,DEPARTMENT,MEDIUM,Business,Department with ID {departmentId} not found,Organization Management,Department Service
ERR.CORE.DEPARTMENT.DELETE.IN_USE,DEPARTMENT,HIGH,Business,Cannot delete department {departmentId} as it has {unitCount} assigned units,Organization Management,Department Service
ERR.CORE.DEPARTMENT.DELETE.HAS_PERSONNEL,DEPARTMENT,HIGH,Business,Cannot delete department {departmentId} as it has {personnelCount} assigned personnel,Organization Management,Department Service
ERR.CORE.DEPARTMENT.DELETE.FAILED,DEPARTMENT,HIGH,System,Failed to delete department {departmentId}: {errorMessage},Organization Management,Department Service
ERR.CORE.DEPARTMENT.GET.NOT_FOUND,DEPARTMENT,LOW,Business,Department with ID {departmentId} not found,Organization Management,Department Service
ERR.CORE.DEPARTMENT.LIST.FAILED,DEPARTMENT,MEDIUM,System,Failed to retrieve departments list: {errorMessage},Organization Management,Department Service
ERR.CORE.DISTRICT.CREATE.FAILED,DISTRICT,HIGH,System,Failed to create district: {errorMessage},Geography,District Service
ERR.CORE.DISTRICT.CREATE.DUPLICATE_CCTNS_CODE,DISTRICT,MEDIUM,Business,District with CCTNS code {cctnsDistrictCd} already exists,Geography,District Service
ERR.CORE.DISTRICT.CREATE.DUPLICATE_NAME,DISTRICT,MEDIUM,Business,District with name {name} already exists,Geography,District Service
ERR.CORE.DISTRICT.UPDATE.NOT_FOUND,DISTRICT,MEDIUM,Business,District with ID {districtId} not found,Geography,District Service
ERR.CORE.DISTRICT.UPDATE.FAILED,DISTRICT,HIGH,System,Failed to update district {districtId}: {errorMessage},Geography,District Service
ERR.CORE.DISTRICT.UPDATE.DUPLICATE_CCTNS_CODE,DISTRICT,MEDIUM,Business,Another district with CCTNS code {cctnsDistrictCd} already exists,Geography,District Service
ERR.CORE.DISTRICT.DELETE.NOT_FOUND,DISTRICT,MEDIUM,Business,District with ID {districtId} not found,Geography,District Service
ERR.CORE.DISTRICT.DELETE.IN_USE,DISTRICT,HIGH,Business,Cannot delete district {districtId} as it has {unitCount} assigned units,Geography,District Service
ERR.CORE.DISTRICT.DELETE.FAILED,DISTRICT,HIGH,System,Failed to delete district {districtId}: {errorMessage},Geography,District Service
ERR.CORE.DISTRICT.GET.NOT_FOUND,DISTRICT,LOW,Business,District with ID {districtId} not found,Geography,District Service
ERR.CORE.DISTRICT.LIST.FAILED,DISTRICT,MEDIUM,System,Failed to retrieve districts list: {errorMessage},Geography,District Service
ERR.CORE.RANK.CREATE.FAILED,RANK,HIGH,System,Failed to create rank: {errorMessage},Human Resources,Rank Service
ERR.CORE.RANK.CREATE.DUPLICATE_NAME,RANK,MEDIUM,Business,Rank with name {name} already exists,Human Resources,Rank Service
ERR.CORE.RANK.CREATE.DUPLICATE_SEQUENCE,RANK,MEDIUM,Business,Rank with sequence {sequence} already exists,Human Resources,Rank Service
ERR.CORE.RANK.UPDATE.NOT_FOUND,RANK,MEDIUM,Business,Rank with ID {rankId} not found,Human Resources,Rank Service
ERR.CORE.RANK.UPDATE.FAILED,RANK,HIGH,System,Failed to update rank {rankId}: {errorMessage},Human Resources,Rank Service
ERR.CORE.RANK.UPDATE.DUPLICATE_NAME,RANK,MEDIUM,Business,Another rank with name {name} already exists,Human Resources,Rank Service
ERR.CORE.RANK.UPDATE.DUPLICATE_SEQUENCE,RANK,MEDIUM,Business,Another rank with sequence {sequence} already exists,Human Resources,Rank Service
ERR.CORE.RANK.DELETE.NOT_FOUND,RANK,MEDIUM,Business,Rank with ID {rankId} not found,Human Resources,Rank Service
ERR.CORE.RANK.DELETE.IN_USE,RANK,HIGH,Business,Cannot delete rank {rankId} as it is assigned to {personnelCount} personnel,Human Resources,Rank Service
ERR.CORE.RANK.DELETE.FAILED,RANK,HIGH,System,Failed to delete rank {rankId}: {errorMessage},Human Resources,Rank Service
ERR.CORE.RANK.GET.NOT_FOUND,RANK,LOW,Business,Rank with ID {rankId} not found,Human Resources,Rank Service
ERR.CORE.RANK.LIST.FAILED,RANK,MEDIUM,System,Failed to retrieve ranks list: {errorMessage},Human Resources,Rank Service
ERR.CORE.MANDAL.CREATE.FAILED,MANDAL,HIGH,System,Failed to create mandal: {errorMessage},Geography,Mandal Service
ERR.CORE.MANDAL.CREATE.DUPLICATE_NAME,MANDAL,MEDIUM,Business,Mandal with name {name} already exists in district {districtId},Geography,Mandal Service
ERR.CORE.MANDAL.CREATE.INVALID_DISTRICT,MANDAL,MEDIUM,Business,District with ID {districtId} does not exist,Geography,Mandal Service
ERR.CORE.MANDAL.UPDATE.NOT_FOUND,MANDAL,MEDIUM,Business,Mandal with ID {mandalId} not found,Geography,Mandal Service
ERR.CORE.MANDAL.UPDATE.FAILED,MANDAL,HIGH,System,Failed to update mandal {mandalId}: {errorMessage},Geography,Mandal Service
ERR.CORE.MANDAL.UPDATE.DUPLICATE_NAME,MANDAL,MEDIUM,Business,Another mandal with name {name} already exists in this district,Geography,Mandal Service
ERR.CORE.MANDAL.DELETE.NOT_FOUND,MANDAL,MEDIUM,Business,Mandal with ID {mandalId} not found,Geography,Mandal Service
ERR.CORE.MANDAL.DELETE.IN_USE,MANDAL,HIGH,Business,Cannot delete mandal {mandalId} as it has {villageCount} assigned villages,Geography,Mandal Service
ERR.CORE.MANDAL.DELETE.FAILED,MANDAL,HIGH,System,Failed to delete mandal {mandalId}: {errorMessage},Geography,Mandal Service
ERR.CORE.MANDAL.GET.NOT_FOUND,MANDAL,LOW,Business,Mandal with ID {mandalId} not found,Geography,Mandal Service
ERR.CORE.MANDAL.LIST.FAILED,MANDAL,MEDIUM,System,Failed to retrieve mandals list: {errorMessage},Geography,Mandal Service
ERR.CORE.VALUESET.CREATE.FAILED,VALUESET,HIGH,System,Failed to create value set: {errorMessage},Configuration,ValueSet Service
ERR.CORE.VALUESET.CREATE.DUPLICATE_KEY,VALUESET,MEDIUM,Business,Value set with key {key} already exists,Configuration,ValueSet Service
ERR.CORE.VALUESET.CREATE.DUPLICATE_ITEM_CODE,VALUESET,MEDIUM,Business,Item code {itemCode} already exists in value set {key},Configuration,ValueSet Service
ERR.CORE.VALUESET.CREATE.DUPLICATE_LABEL,VALUESET,MEDIUM,Business,Label {label} for language {language} already exists in value set {key},Configuration,ValueSet Service
ERR.CORE.VALUESET.UPDATE.NOT_FOUND,VALUESET,MEDIUM,Business,Value set with ID {valueSetId} not found,Configuration,ValueSet Service
ERR.CORE.VALUESET.UPDATE.FAILED,VALUESET,HIGH,System,Failed to update value set {valueSetId}: {errorMessage},Configuration,ValueSet Service
ERR.CORE.VALUESET.UPDATE.DUPLICATE_ITEM_CODE,VALUESET,MEDIUM,Business,Item code {itemCode} already exists in this value set,Configuration,ValueSet Service
ERR.CORE.VALUESET.ARCHIVE.NOT_FOUND,VALUESET,MEDIUM,Business,Value set with ID {valueSetId} not found,Configuration,ValueSet Service
ERR.CORE.VALUESET.ARCHIVE.FAILED,VALUESET,HIGH,System,Failed to archive value set {valueSetId}: {errorMessage},Configuration,ValueSet Service
ERR.CORE.VALUESET.GET.NOT_FOUND,VALUESET,LOW,Business,Value set with key {key} not found,Configuration,ValueSet Service
ERR.CORE.VALUESET.LIST.FAILED,VALUESET,MEDIUM,System,Failed to retrieve value sets list: {errorMessage},Configuration,ValueSet Service
ERR.CORE.VALUESET.VALIDATE.NOT_FOUND,VALUESET,MEDIUM,Business,Value {value} not found in value set {key},Configuration,ValueSet Service
ERR.CORE.VALUESET.VALIDATE.ARCHIVED,VALUESET,MEDIUM,Business,Value set {key} is archived and cannot be used,Configuration,ValueSet Service
ERR.CORE.VALUESET.CACHE.REFRESH_FAILED,VALUESET,HIGH,System,Failed to refresh value set cache: {errorMessage},Configuration,ValueSet Service
ERR.CORE.VALUESET.BOOTSTRAP.FAILED,VALUESET,CRITICAL,System,Failed to bootstrap value sets: {errorMessage},Configuration,ValueSet Service
ERR.CORE.NOTIF_MASTER.CREATE.FAILED,NOTIFICATION_MASTER,HIGH,System,Failed to create notification master: {errorMessage},Notifications,Notification Master Service
ERR.CORE.NOTIF_MASTER.CREATE.DUPLICATE_TYPE,NOTIFICATION_MASTER,MEDIUM,Business,Notification type {notificationType} already exists,Notifications,Notification Master Service
ERR.CORE.NOTIF_MASTER.UPDATE.NOT_FOUND,NOTIFICATION_MASTER,MEDIUM,Business,Notification master with ID {masterId} not found,Notifications,Notification Master Service
ERR.CORE.NOTIF_MASTER.UPDATE.FAILED,NOTIFICATION_MASTER,HIGH,System,Failed to update notification master {masterId}: {errorMessage},Notifications,Notification Master Service
ERR.CORE.NOTIF_MASTER.UPDATE.DUPLICATE_TYPE,NOTIFICATION_MASTER,MEDIUM,Business,Another notification with type {notificationType} already exists,Notifications,Notification Master Service
ERR.CORE.NOTIF_MASTER.DELETE.NOT_FOUND,NOTIFICATION_MASTER,MEDIUM,Business,Notification master with ID {masterId} not found,Notifications,Notification Master Service
ERR.CORE.NOTIF_MASTER.DELETE.IN_USE,NOTIFICATION_MASTER,HIGH,Business,Cannot delete notification master {masterId} as it has {notificationCount} associated notifications,Notifications,Notification Master Service
ERR.CORE.NOTIF_MASTER.DELETE.FAILED,NOTIFICATION_MASTER,HIGH,System,Failed to delete notification master {masterId}: {errorMessage},Notifications,Notification Master Service
ERR.CORE.NOTIF_MASTER.GET.NOT_FOUND,NOTIFICATION_MASTER,LOW,Business,Notification master with ID {masterId} not found,Notifications,Notification Master Service
ERR.CORE.NOTIF_MASTER.GET.TYPE_NOT_FOUND,NOTIFICATION_MASTER,LOW,Business,Notification master with type {notificationType} not found,Notifications,Notification Master Service
ERR.CORE.NOTIF_MASTER.LIST.FAILED,NOTIFICATION_MASTER,MEDIUM,System,Failed to retrieve notification masters list: {errorMessage},Notifications,Notification Master Service
ERR.CORE.NOTIFICATION.CREATE.FAILED,NOTIFICATION,HIGH,System,Failed to create notification: {errorMessage},Notifications,Notification Service
ERR.CORE.NOTIFICATION.CREATE.INVALID_CONTACT,NOTIFICATION,MEDIUM,Business,Contact with ID {contactId} does not exist,Notifications,Notification Service
ERR.CORE.NOTIFICATION.CREATE.INVALID_TYPE,NOTIFICATION,MEDIUM,Business,Notification type {notificationType} does not exist in master,Notifications,Notification Service
ERR.CORE.NOTIFICATION.CREATE.NO_CHANNEL,NOTIFICATION,MEDIUM,Business,No delivery channel configured for notification type {notificationType},Notifications,Notification Service
ERR.CORE.NOTIFICATION.EMIT.FAILED,NOTIFICATION,HIGH,System,Failed to emit notification to {recipientCount} recipients: {errorMessage},Notifications,Notification Service
ERR.CORE.NOTIFICATION.MARK_READ.NOT_FOUND,NOTIFICATION,MEDIUM,Business,Notification with ID {notificationId} not found,Notifications,Notification Service
ERR.CORE.NOTIFICATION.MARK_READ.FAILED,NOTIFICATION,MEDIUM,System,Failed to mark notification {notificationId} as read: {errorMessage},Notifications,Notification Service
ERR.CORE.NOTIFICATION.RESEND.NOT_FOUND,NOTIFICATION,MEDIUM,Business,Notification with ID {notificationId} not found,Notifications,Notification Service
ERR.CORE.NOTIFICATION.RESEND.INVALID_STATUS,NOTIFICATION,MEDIUM,Business,Cannot resend notification {notificationId} with status {status},Notifications,Notification Service
ERR.CORE.NOTIFICATION.RESEND.FAILED,NOTIFICATION,HIGH,System,Failed to resend notification {notificationId}: {errorMessage},Notifications,Notification Service
ERR.CORE.NOTIFICATION.CANCEL.NOT_FOUND,NOTIFICATION,MEDIUM,Business,Notification with ID {notificationId} not found,Notifications,Notification Service
ERR.CORE.NOTIFICATION.CANCEL.INVALID_STATUS,NOTIFICATION,MEDIUM,Business,Cannot cancel notification {notificationId} with status {status},Notifications,Notification Service
ERR.CORE.NOTIFICATION.CANCEL.FAILED,NOTIFICATION,MEDIUM,System,Failed to cancel notification {notificationId}: {errorMessage},Notifications,Notification Service
ERR.CORE.NOTIFICATION.GET.NOT_FOUND,NOTIFICATION,LOW,Business,Notification with ID {notificationId} not found,Notifications,Notification Service
ERR.CORE.NOTIFICATION.LIST.FAILED,NOTIFICATION,MEDIUM,System,Failed to retrieve notifications list: {errorMessage},Notifications,Notification Service
ERR.CORE.NOTIFICATION.DELIVERY.EMAIL_FAILED,NOTIFICATION,HIGH,Integration,Failed to deliver email notification to {email}: {errorMessage},Notifications,Notification Service
ERR.CORE.NOTIFICATION.DELIVERY.SMS_FAILED,NOTIFICATION,HIGH,Integration,Failed to deliver SMS notification to {phone}: {errorMessage},Notifications,Notification Service
ERR.CORE.NOTIFICATION.DELIVERY.PUSH_FAILED,NOTIFICATION,HIGH,Integration,Failed to deliver push notification to device {deviceId}: {errorMessage},Notifications,Notification Service
ERR.CORE.ERROR_MASTER.CREATE.FAILED,ERROR_MASTER,HIGH,System,Failed to create error master: {errorMessage},Error Management,Error Master Service
ERR.CORE.ERROR_MASTER.CREATE.DUPLICATE_CODE,ERROR_MASTER,MEDIUM,Business,Error code {errorCode} already exists,Error Management,Error Master Service
ERR.CORE.ERROR_MASTER.CREATE.INVALID_FORMAT,ERROR_MASTER,MEDIUM,Business,Error code {errorCode} does not match required format,Error Management,Error Master Service
ERR.CORE.ERROR_MASTER.CREATE.INVALID_MODULE,ERROR_MASTER,MEDIUM,Business,Module with ID {moduleId} does not exist,Error Management,Error Master Service
ERR.CORE.ERROR_MASTER.CREATE.INVALID_CREATOR,ERROR_MASTER,MEDIUM,Business,Creator with ID {createdBy} does not exist,Error Management,Error Master Service
ERR.CORE.ERROR_MASTER.UPDATE.NOT_FOUND,ERROR_MASTER,MEDIUM,Business,Error master with ID {errorMasterId} not found,Error Management,Error Master Service
ERR.CORE.ERROR_MASTER.UPDATE.FAILED,ERROR_MASTER,HIGH,System,Failed to update error master {errorMasterId}: {errorMessage},Error Management,Error Master Service
ERR.CORE.ERROR_MASTER.UPDATE.CODE_IMMUTABLE,ERROR_MASTER,MEDIUM,Business,Error code cannot be changed after creation,Error Management,Error Master Service
ERR.CORE.ERROR_MASTER.DELETE.NOT_FOUND,ERROR_MASTER,MEDIUM,Business,Error master with ID {errorMasterId} not found,Error Management,Error Master Service
ERR.CORE.ERROR_MASTER.DELETE.IN_USE,ERROR_MASTER,HIGH,Business,Cannot delete error master {errorCode} as it has {logCount} associated error logs,Error Management,Error Master Service
ERR.CORE.ERROR_MASTER.DELETE.FAILED,ERROR_MASTER,HIGH,System,Failed to delete error master {errorMasterId}: {errorMessage},Error Management,Error Master Service
ERR.CORE.ERROR_MASTER.GET.NOT_FOUND,ERROR_MASTER,LOW,Business,Error master with ID {errorMasterId} not found,Error Management,Error Master Service
ERR.CORE.ERROR_MASTER.GET.CODE_NOT_FOUND,ERROR_MASTER,LOW,Business,Error master with code {errorCode} not found,Error Management,Error Master Service
ERR.CORE.ERROR_MASTER.LIST.FAILED,ERROR_MASTER,MEDIUM,System,Failed to retrieve error masters list: {errorMessage},Error Management,Error Master Service
ERR.CORE.ERROR_MASTER.BULK_CREATE.PARTIAL_FAILURE,ERROR_MASTER,MEDIUM,Business,Bulk create completed with {failureCount} failures out of {totalCount},Error Management,Error Master Service
ERR.CORE.ERROR_LOG.CREATE.FAILED,ERROR_LOG,HIGH,System,Failed to log error: {errorMessage},Error Management,Error Log Service
ERR.CORE.ERROR_LOG.CREATE.INVALID_CODE,ERROR_LOG,MEDIUM,Business,Error code {errorCode} does not exist in error master,Error Management,Error Log Service
ERR.CORE.ERROR_LOG.CREATE.INVALID_SOURCE_TYPE,ERROR_LOG,MEDIUM,Business,Source type {sourceType} is not a valid value,Error Management,Error Log Service
ERR.CORE.ERROR_LOG.CREATE.INVALID_ENVIRONMENT,ERROR_LOG,MEDIUM,Business,Environment {environment} is not a valid value,Error Management,Error Log Service
ERR.CORE.ERROR_LOG.CREATE.EMPTY_MESSAGE,ERROR_LOG,MEDIUM,Business,Resolved message is empty for error code {errorCode} with logging enabled,Error Management,Error Log Service
ERR.CORE.ERROR_LOG.SEARCH.FAILED,ERROR_LOG,MEDIUM,System,Failed to search error logs: {errorMessage},Error Management,Error Log Service
ERR.CORE.ERROR_LOG.EXPORT.FAILED,ERROR_LOG,HIGH,System,Failed to export error logs to CSV: {errorMessage},Error Management,Error Log Service
ERR.CORE.ERROR_LOG.ARCHIVE.FAILED,ERROR_LOG,HIGH,System,Failed to archive error logs: {errorMessage},Error Management,Error Log Service
ERR.CORE.ERROR_LOG.ARCHIVE.MOVE_FAILED,ERROR_LOG,HIGH,System,Failed to move {logCount} logs to archive: {errorMessage},Error Management,Error Log Service
ERR.CORE.ERROR_LOG.GET.NOT_FOUND,ERROR_LOG,LOW,Business,Error log with ID {errorLogId} not found,Error Management,Error Log Service
